ID,slp,pval,season
X2136,-0.383953293559988,0.0370207476659053,spr
X2700,-0.33494895934385,0.0391855471705841,spr
X2744,-0.400537703804339,0.0081742874385338,spr
X4291,-0.413447708578146,0.00663376241364479,spr
X4488,-0.371318840579711,0.100425174369637,spr
X4622,-0.309426642730676,0.138958294570753,spr
X4597,-0.283149212653289,0.268359528829253,spr
X4509,-0.33955083120206,0.0709323430729971,spr
X4550,-0.35844985177866,0.0606804726654334,spr
X4588,-0.270097293265136,0.187983838138654,spr
X5055,-0.21301364023872,0.25841287570987,spr
X3314,-0.467898550724646,0.010723675801035,spr
X4062,-0.348224256292902,0.0370207476659053,spr
X4201,-0.2864100241546,0.145287789095267,spr
X9454,-0.445016866566718,0.00762845212038399,spr
X5817,-0.146031884057969,0.333526103088346,spr
X5955,-0.489615197981376,0.00618153687649209,spr
X6703,-0.384829306387856,0.00762845212038399,spr
X6700,-0.386611456176688,0.010723675801035,spr
X7449,-0.350120475476551,0.0516880497553147,spr
X17749,-0.238477053140103,0.204097893101901,spr
X18700,-0.43166996047438,0.0391855471705841,spr
X19468,-0.468807333970379,0.0329953946693364,spr
X19861,-0.16209951174145,0.477262035081051,spr
X21146,-0.111013790760871,0.506620569504461,spr
X21574,-0.394388175230571,0.151835761826554,spr
X10241,-0.474077132107012,0.037007913605306,spr
X12618,-0.198165760869573,0.268359528829253,spr
X13275,-0.708641722408005,0.00371846164139384,spr
X13212,-0.53069107168823,0.0204191298581656,spr
X13857,-0.465846273291926,0.010027526446318,spr
X15637,-0.148593749999996,0.583967534206333,spr
X23141,-0.0507711187830422,0.583967534206333,spr
X23122,-0.0617666278468025,0.666404182984928,spr
X26936,-0.101912638401293,0.521648148844523,spr
X27112,-0.0853230676328375,0.7179633437776,spr
X27249,-0.113830376478429,0.477262035081051,spr
X27679,-0.0696700430744347,0.583967534206333,spr
X25419,-0.118942661605705,0.536901795304878,spr
X25404,-0.0753589894242106,0.7179633437776,spr
X25453,-0.0471163136380538,0.753082135935896,spr
X25339,-0.0934550120772959,0.583967534206333,spr
X25343,-0.103903079710144,0.552376505263504,spr
X25318,-0.0502687747035634,0.7179633437776,spr
X25349,-0.0754604876615839,0.600072292463655,spr
X25357,-0.00629182651321509,0.916487445993529,spr
X25367,-0.096571652984693,0.536901795304878,spr
X28267,-0.0501189064558689,0.753082135935896,spr
X28336,-0.223570652173911,0.278566049656945,spr
X28476,-0.112533514492757,0.568066960851392,spr
X28653,-0.147547612411733,0.506620569504461,spr
X28501,-0.154907983508249,0.448859820864049,spr
X25689,-0.253235313147001,0.121240531890668,spr
X25798,-0.234495832617288,0.230117374958221,spr
X25822,-0.255136693017127,0.105341058564677,spr
X25978,-0.234972826086957,0.180287946389303,spr
X26424,-0.0404841897233116,0.879610141396948,spr
X26395,-0.13736892583121,0.448859820864049,spr
X26899,-0.0438353615311961,0.7179633437776,spr
X29629,-0.0997903726708193,0.477262035081051,spr
X29790,-0.0694534161490741,0.568066960851392,spr
X29471,-0.131759354697649,0.506620569504461,spr
X37314,-0.327707404310663,0.078525510926547,spr
X37583,-0.111603435061322,0.632869142286627,spr
X37716,-0.281913496376805,0.0606804726654334,spr
X37920,-0.299315789473685,0.0911427988442931,spr
X39102,-0.323338733277597,0.0867673622125098,spr
X40739,-0.194548233695649,0.195919478029792,spr
X30345,-0.081798654244295,0.568066960851392,spr
X30265,-0.082620772946863,0.7179633437776,spr
X34530,-0.286665458937198,0.145287789095267,spr
X35929,-0.168631521739125,0.333526103088346,spr
X45793,-0.115109879700678,0.568066960851392,spr
X41824,-0.166173510466994,0.600072292463655,spr
X42841,-0.203780247885105,0.299762853129581,spr
X43411,-0.197453901397522,0.421442378942573,spr
X49688,-0.366065288434216,0.0956939083516393,spr
X49708,-0.43137577866768,0.0545528426741626,spr
X49704,-0.478027375201283,0.0545528426741626,spr
X49756,-0.299918889986841,0.151835761826554,spr
X51981,-0.382656472009103,0.0575488796913933,spr
X52072,-0.324741847826085,0.145287789095267,spr
X52736,-0.323471673254281,0.138958294570753,spr
X47259,-0.201863038277515,0.278566049656945,spr
X47764,-0.359533298826778,0.0639519780524364,spr
X47803,-0.389206558336982,0.0867673622125098,spr
X47800,-0.354382432181343,0.126938771346517,spr
X47932,-0.208860615548198,0.462939488046082,spr
X46628,-0.349214285714288,0.115744368429836,spr
X55015,-0.111547092781364,0.666404182984928,spr
X90088,-0.540160680529305,0.310754560425242,spr
X90443,-0.212429710144934,0.435026427854838,spr
X92062,0.651086956521747,0.00431041611784335,spr
